time,seconds_elapsed,z,y,x
1789799581483926500,0.047926513671875,5.7797524452209466,6.234201847839355,-2.074426100921631
1789799581493898800,0.057898681640625,6.628048020935058,5.7040358177185055,-0.8716390419006347
1789799581503869400,0.067869384765625,7.0202481803894035,5.218162518310547,0.16983868026733398
1789799581513841700,0.077841552734375,7.3751885765075675,5.204096583557129,0.956333925628662
1789799581523812600,0.0878125,7.3663599578857415,5.12044916305542,1.0244190353393554
1789799581533783600,0.097783447265625,7.218368367767334,4.759822537994385,0.5915174476623535
1789799581543755500,0.107755615234375,7.363666481018066,4.42418539276123,0.25917232971191406
1789799581553726500,0.1177265625,7.406612473297119,4.337395582580566,-0.3302501914978027
1789799581563698400,0.127698486328125,7.7970169815063475,4.100818531036377,-0.9956886154174804
1789799581573669400,0.13766943359375,8.468440909576415,3.6378397850036617,-1.2957120109558105
1789799581583641900,0.147641845703125,8.830264635467529,3.3871967987060545,-1.31516489944458
1789799581593612500,0.157612548828125,8.792256684112548,3.3969232429504395,-1.1385925270080566
1789799581603584800,0.167584716796875,8.683919058990478,3.6905122215270993,-0.5178957466125488
1789799581613555700,0.1775556640625,8.851812450408936,4.459050954437256,0.5891232460021972
1789799581623527700,0.187527587890625,9.59012438735962,5.713014073944091,2.0299837326049803
1789799581633498600,0.19749853515625,10.66871223526001,7.14414811630249,3.157652714538574
1789799581643469600,0.207469482421875,11.047445010375975,7.117362985229492,2.9700071594238278
1789799581653441800,0.21744189453125,11.118223596954346,6.265476107025146,1.7087117973327637
1789799581663412500,0.22741259765625,10.99312656021118,5.749525649261474,0.6168062026977539
1789799581673384700,0.237384765625,9.897330387878418,4.978443077087402,-0.3381809844970703
1789799581683355600,0.247355712890625,8.617629600524902,4.76266565246582,-1.0422259101867675
1789799581693327600,0.25732763671875,6.540809297943115,3.0259716232299803,-3.2058360229492187
1789799581703298600,0.267298583984375,4.512321941375732,4.849904375457763,-4.519205271148682
1789799581713270800,0.277270751953125,1.4975731384277342,5.888389345550537,-2.443432431793213
1789799581723241500,0.287241455078125,3.3213562530517575,6.562357112884521,-2.185457202911377
1789799581733213700,0.297213623046875,5.781548096466064,7.091026766967773,-2.58558815536499
1789799581743184600,0.3071845703125,5.312434208679199,5.2828059631347655,-1.3757681289672852
1789799581753155600,0.317155517578125,4.535216494750976,1.7791911087036132,1.235408056640625
1789799581763127600,0.32712744140625,10.851719024658202,0.7439981658935546,1.9027917694091796
1789799581773098800,0.3370986328125,14.392892917633056,0.5268740028381347,1.04701431350708
1789799581783070500,0.347070556640625,11.429469812774657,0.088735099029541,0.9472060317993164
1789799581793041700,0.357041748046875,10.60436806564331,0.7564180870056152,0.08319850769042968
1789799581803013600,0.367013671875,9.947010072326659,1.5272013839721679,-1.1870751106262207
1789799581812984800,0.37698486328125,10.478373203277588,3.781491884613037,-6.020070436859131
1789799581822956500,0.38695654296875,12.622829702758787,8.283638468933106,-14.92635097503662
1789799581832927700,0.396927734375,12.51329497680664,7.858518036651611,-11.176582262420654
1789799581842899500,0.4068994140625,9.393201300811768,3.1637878562927244,-1.9448399360656736
1789799581852870700,0.41687060546875,8.859593605804443,2.1184195564270016,2.084002907562256
1789799581862842600,0.426842529296875,9.834033681488037,3.604620236968994,3.125630267333984
1789799581872813800,0.436813720703125,9.471611405181884,4.823418519592285,2.992901712799072
1789799581882784500,0.446784423828125,9.162310478210449,4.917839847564697,2.953995935821533
1789799581892756700,0.4567568359375,8.685714710235596,4.209904344177246,3.056048781585693
1789799581902727700,0.466727783203125,7.6867340675354,4.055029424285888,2.9882629470825193
1789799581912699600,0.47669970703125,6.410474945068359,3.608959727478027,2.858826419830322
1789799581922670600,0.486670654296875,4.806808745574951,2.9650691184997555,2.7729344352722167
1789799581932642800,0.496642822265625,3.4757822601318358,3.2275334754943845,2.6734254287719725
1789799581942613500,0.506613525390625,2.644844646453857,4.282628219604492,3.5323452743530273
1789799581952585700,0.516585693359375,2.6994623718261717,6.375010832977295,5.654505770874023
1789799581962556700,0.526556640625,2.472611764526367,7.68658442993164,6.5224038726806635
1789799581972528600,0.536528564453125,1.8564041122436523,5.105485402679443,5.068524914550781
1789799581982499600,0.54649951171875,2.8356325912475584,2.016217073059082,3.9158664527893063
1789799581992470800,0.556470703125,4.991012635803222,1.341950030517578,3.7790976829528806
1789799582002442500,0.5664423828125,6.009595804595947,1.4287398406982421,4.536712870788574
1789799582012413700,0.57641357421875,6.400748500823974,1.4624083015441893,5.600037683105469
1789799582022385700,0.5863857421875,6.868814925384521,1.6106991668701172,6.036829848480224
1789799582032356900,0.59635693359375,7.062595622253418,1.6103998916625977,5.2371664939880365
1789799582042328600,0.60632861328125,6.536320169830322,1.1136030471801757,4.25853656539917
1789799582052299800,0.6162998046875,5.26050996017456,0.47330374069213865,3.616291970062256
1789799582062271500,0.626271484375,3.0980969482421874,0.10504559783935546,2.7914894981384277
