time,seconds_elapsed,z,y,x
1789799581486419500,0.05041943359375,-0.6017313003540039,-1.2606334686279297,-0.5877375602722168
1789799581496390700,0.060390625,-0.5790222883224487,-1.1552252769470215,-0.7358502149581909
1789799581506362400,0.0703623046875,-0.5442832112312317,-0.9946938753128052,-0.8296244144439697
1789799581516333600,0.08033349609375,-0.439098984003067,-0.6071523427963257,-0.9301669001579285
1789799581526305500,0.090305419921875,-0.2095147967338562,0.04212548956274986,-1.1682285070419312
1789799581536276500,0.1002763671875,0.052860625088214874,0.6886815428733826,-1.4608896970748901
1789799581546248400,0.11024853515625,0.346924751996994,1.0224156379699707,-1.6783010959625244
1789799581556219600,0.1202197265625,0.6088013648986816,1.2442339658737183,-1.8224802017211914
1789799581566191400,0.13019140625,0.8297348022460938,1.5473450422286987,-1.9033857583999634
1789799581576162600,0.14016259765625,1.076646089553833,1.9170995950698853,-1.9004427194595337
1789799581586133800,0.1501337890625,1.3689199686050415,2.2998178005218506,-1.79961359500885
1789799581596105500,0.16010546875,1.6523503065109253,2.627892255783081,-1.6291333436965942
1789799581606076700,0.17007666015625,1.8449082374572754,2.8145956993103027,-1.4054690599441528
1789799581616048600,0.180048583984375,1.8451251983642578,2.8692610263824463,-1.1450796127319336
1789799581626019800,0.190019775390625,1.5502607822418213,2.849323272705078,-0.856552243232727
1789799581635991600,0.199991455078125,1.0448696613311768,2.721338987350464,-0.4985400438308716
1789799581645962800,0.209962646484375,0.5360240936279297,2.5458693504333496,-0.003322605974972248
1789799581655934500,0.2199345703125,0.06472712010145187,2.4666783809661865,0.6276488900184631
1789799581665905700,0.22990576171875,-0.30234065651893616,2.193934679031372,1.336607575416565
1789799581675877600,0.239877685546875,-0.6733770370483398,1.596602201461792,2.0172343254089355
1789799581685848800,0.249848876953125,-0.8416720032691956,0.4515816569328308,2.501525402069092
1789799581695819500,0.259819580078125,-1.0377744436264038,-1.2623217105865479,2.6417791843414307
1789799581705791700,0.269791748046875,-1.520511507987976,-3.929560899734497,2.171095371246338
1789799581715762700,0.2797626953125,-1.9317693710327148,-5.89315128326416,1.7819569110870361
1789799581725734700,0.289734619140625,-2.0941317081451416,-6.816962718963623,1.7412570714950562
1789799581735705600,0.29970556640625,-2.230839252471924,-7.831008434295654,1.551430344581604
1789799581745677800,0.309677734375,-2.2466115951538086,-9.418135643005371,0.9059634804725647
1789799581755648500,0.3196484375,-2.3738198280334473,-8.5525541305542,-0.6187577247619629
1789799581765620700,0.329620849609375,-2.6707239151000977,-6.158906936645508,-1.038703441619873
1789799581775591700,0.339591796875,-2.712301254272461,-4.400898456573486,-1.2230700254440308
1789799581785563600,0.349563720703125,-2.5905988216400146,-2.8700191974639893,-1.2177058458328247
1789799581795534600,0.35953466796875,-2.385510206222534,-1.6267293691635132,-1.061143159866333
1789799581805505800,0.369505859375,-1.9447181224822998,-0.6555644869804382,-0.7953299283981323
1789799581815477500,0.3794775390625,-0.6097024083137512,-0.4675902724266052,-0.34820693731307983
1789799581825448700,0.38944873046875,0.6122653484344482,-0.462115079164505,0.0201399065554142
1789799581835420700,0.399420654296875,0.9454087018966675,-0.926530659198761,0.1771615743637085
1789799581845392000,0.409391845703125,0.8317862749099731,-1.583687424659729,0.35741549730300903
1789799581855363600,0.419363525390625,0.6844313740730286,-1.9756799936294556,0.6586130857467651
1789799581865334800,0.429334716796875,0.6498614549636841,-2.2585790157318115,0.9684612154960632
1789799581875306500,0.439306396484375,0.7105650305747986,-2.298675537109375,1.1813483238220215
1789799581885277700,0.449277587890625,0.8319183588027954,-2.1526241302490234,1.2748806476593018
1789799581895249700,0.459249755859375,0.9516738057136536,-2.079681158065796,1.2935506105422974
1789799581905220900,0.469220947265625,1.1302094459533691,-2.1905152797698975,1.2987706661224365
1789799581915192600,0.479192626953125,1.5093649625778198,-2.540280818939209,1.3223204612731934
