time,seconds_elapsed,z,y,x
1789799203301435000,0.054434814453125,7.166665653058886,6.68923635686934,0.25180395636837927
1789799203311406800,0.06440673828125,7.1716685759127135,6.685109047806263,0.21651973088886586
1789799203321378800,0.07437890625,7.174327565988897,6.683557142189144,0.17166039753546938
1789799203331351800,0.084351806640625,7.184886369404197,6.673505119252204,0.11007091518808156
1789799203341323800,0.09432373046875,7.216110359707474,6.640584846425056,0.02770587406355189
1789799203351295700,0.104295654296875,7.2694713630169625,6.581787789541482,-0.0723417305421317
1789799203361267700,0.114267822265625,7.336383921816944,6.504833729198575,-0.18705761742526664
1789799203371239700,0.12423974609375,7.412785024452209,6.412903633520007,-0.30929288979545233
1789799203381211600,0.134211669921875,7.494211261773109,6.3096145239591594,-0.4426590481141582
1789799203391184000,0.144183837890625,7.575967169439792,6.199640822067856,-0.5827164111671969
1789799203401156600,0.154156494140625,7.654204255330562,6.088425011160969,-0.7173723170354962
1789799203411128800,0.16412890625,7.725854948568344,5.980722761332989,-0.8441013388946652
1789799203421100800,0.174100830078125,7.789041764843463,5.880480179861188,-0.959777782472223
1789799203431072800,0.18407275390625,7.840496642270684,5.792666871851682,-1.0686485646229236
1789799203441044700,0.194044677734375,7.877168376585841,5.722035000267624,-1.1742726930025964
1789799203451016700,0.2040166015625,7.89858116697073,5.670205444309115,-1.277331427873671
1789799203460988700,0.21398876953125,7.906061293593049,5.635082693001627,-1.382182087662816
1789799203470961000,0.2239609375,7.902784463879466,5.61232491774857,-1.4893601674862205
1789799203480933600,0.23393359375,7.893372492411732,5.597369925200939,-1.5920124404482543
1789799203490905900,0.24390576171875,7.881715372365712,5.585342802798747,-1.6890544723130763
1789799203500877800,0.2538779296875,7.869237583586573,5.573231509244442,-1.784539045602828
1789799203510849800,0.263849853515625,7.855936787986755,5.5602101151078935,-1.8811444396160542
1789799203520821800,0.27382177734375,7.842324442219733,5.546908734986186,-1.9748769085414706
1789799203530793700,0.283793701171875,7.830607700940966,5.534449066385626,-2.0547113466262816
1789799203540765700,0.293765625,7.82453861016035,5.523293466120958,-2.107181392445415
1789799203550738000,0.303738037109375,7.829143473607301,5.513035691478848,-2.1169183580838142
1789799203560710700,0.313710693359375,7.850974781665205,5.501297907412052,-2.065986189356446
1789799203570683000,0.323682861328125,7.895195031663775,5.483685093832015,-1.940483640552312
1789799203580654800,0.33365478515625,7.958079650121927,5.450172700330615,-1.77058533905223
1789799203590626800,0.343626708984375,8.026290432038902,5.397907675564289,-1.6160596709899604
1789799203600598800,0.353598876953125,8.088268457046151,5.344460747537017,-1.4788650769568978
1789799203610570800,0.36357080078125,8.143954103910923,5.291279192447662,-1.3596902698695659
1789799203620542700,0.373542724609375,8.190688382557035,5.238926489397883,-1.2793161719501018
1789799203630515000,0.383514892578125,8.224086794289946,5.192271705728769,-1.2550278261289
1789799203640487700,0.39348779296875,8.239345153698325,5.160799878144264,-1.2844168560899794
1789799203650459600,0.403459716796875,8.235591938644648,5.150393634942174,-1.3486489436343312
1789799203660432000,0.413431884765625,8.222233859899639,5.154923095065355,-1.4113886006638408
1789799203670403800,0.42340380859375,8.218380107080936,5.15702094412744,-1.426092687190324
1789799203680375800,0.433375732421875,8.23148333428204,5.149143927142024,-1.378181912110746
1789799203690347800,0.44334765625,8.254434001758694,5.137359381324052,-1.281498630555719
