mean,std,rms,peak_to_peak,iqr,skewness,kurtosis,source,label
0.04965334743335695,0.8087942318067469,0.8082962475282094,3.6584927558535405,1.0923899778713597,0.3020016731402795,-0.4358405066874331,1_Goede_weg_ah_1,1
0.0064112831699016,0.9449520267350188,0.9426084901582158,4.02334043995711,1.4384053241696937,0.23357872449306108,-0.7861586594805634,1_Goede_weg_ah_1,1
-0.035087636434568664,0.8300460290752796,0.8287114519314224,3.9448348501369517,1.0642129504431133,-0.09817775427620366,-0.2968227925637734,1_Goede_weg_ah_1,1
-0.021811998908652423,0.6729651983127074,0.671634953412754,3.6455495934928415,0.8497880031069327,-0.3236712081156164,0.23902918432221343,1_Goede_weg_ah_1,1
-0.03198288681336527,0.636427580371831,0.6356396540348708,3.2588756113085413,0.8860732692578654,0.15763512963805137,-0.2947067643863521,1_Goede_weg_ah_1,1
0.006160968512721938,0.568512367324493,0.567122771342246,2.6635662416906642,0.8235274089670215,0.2058827226881879,-0.5400283173309512,1_Goede_weg_ah_1,1
-0.0035600021675318417,0.6310990794095769,0.6295294206047006,2.9497149742015845,0.8896792827270956,0.1640834140905904,-0.3958318885707919,1_Goede_weg_ah_1,1
-0.0023394975241133056,0.6248101744293869,0.6232505824696788,2.935591463100786,0.9332032610642309,0.08115739984510054,-0.5364939968930251,1_Goede_weg_ah_1,1
-0.015339688840768608,0.5245715745994092,0.5234833008292114,2.2425480717494652,0.8517479629554378,0.056868436452213074,-0.8461040733479095,1_Goede_weg_ah_1,1
-0.02977023638107446,0.5649772049385137,0.5643487510961813,3.1798020038964037,0.8110597332192873,-0.3663249990802306,0.020466914377967882,1_Goede_weg_ah_1,1
0.02857644234745224,0.6199152913281617,0.6190235105693519,3.628795663432553,0.7827555360869731,-0.13949949115322544,0.27654067481042244,1_Goede_weg_ah_1,1
0.045977580763407674,0.6190131411471563,0.6191730941353643,3.148987155654205,0.7751289874157471,0.19379390000907712,-0.18833439139755992,1_Goede_weg_ah_1,1
0.04581803202414032,0.6911746078523142,0.6909652805356188,2.9483184035573533,1.0001912148978414,-0.22854774058705407,-0.7300502719111619,1_Goede_weg_ah_1,1
-0.02421321661967553,0.8233330152593241,0.8216289598139792,3.7859683518249003,1.2447427930090098,-0.26418104565248124,-0.5333841610047378,1_Goede_weg_ah_1,1
-0.05111491166213925,0.7866352409719294,0.7863292958560675,4.0873090033734645,0.9181499551157006,0.01919427292911412,0.12901290918326058,1_Goede_weg_ah_1,1
0.05226635396170596,0.6842151987549892,0.6845008822293387,3.7410479585371554,0.9174696790914405,-0.07545156195382668,-0.018762948795890466,1_Goede_weg_ah_1,1
0.030324305645104133,0.671303132067919,0.6703090475008036,3.3843615530383504,0.9211737750115419,-0.190828505884822,-0.21218844203448306,1_Goede_weg_ah_1,1
-0.02183917559716394,0.6513809969754577,0.6501174253897531,3.393981382462897,0.8366228366261562,-0.1104775179528648,0.011209140841286658,1_Goede_weg_ah_1,1
-0.018247153425187027,0.5910086631175426,0.5898116159323308,3.3265586493601695,0.5726411787485912,-0.5648886829451498,1.0754163129370742,1_Goede_weg_ah_1,1
-0.030504123540529844,0.45710410084491077,0.4569791458777568,3.3265586493601695,0.4775192493533217,-0.7418775304797969,3.0903790209256963,1_Goede_weg_ah_1,1
-0.0007049176361807685,0.37196098964296265,0.371030591509602,2.029279327784093,0.5329569602599754,-0.19547400282198127,-0.1623751195565286,1_Goede_weg_ah_1,1
-0.006485314778443021,0.5031163021708934,0.5018988371677491,2.6204664913253315,0.6081142007775744,-0.018319465077539423,-0.060612935246337596,1_Goede_weg_ah_1,1
-0.019459061799211336,0.6287280796370932,0.627456100631456,3.1477235430817636,0.8258784162901666,-0.06969165992909687,-0.2830734159546515,1_Goede_weg_ah_1,1
0.009686989467404827,0.6826612600585205,0.6810213666029172,3.5010640115558855,0.8605538112988561,0.05819603769102134,0.017435664661785477,1_Goede_weg_ah_1,1
0.014477102728670843,0.641196479525554,0.639755302621714,3.4715009698753048,0.9041615632565163,0.1640389624699852,-0.07873319337406803,1_Goede_weg_ah_1,1
0.013032681873361249,0.7309758222711839,0.7292625557905194,4.4017188477207965,0.9996357874494077,0.1556959679723414,0.23580780610350027,1_Goede_weg_ah_1,1
0.014288525059126153,0.7394976073240759,0.7377849209832147,4.4017188477207965,0.939315312671718,0.265985247912243,0.2802708708467767,1_Goede_weg_ah_1,1
-0.004248565263445563,0.598819598003147,0.5973357822068632,2.8973607272827264,0.8393880721100004,0.3590204461475458,-0.4199366964281066,1_Goede_weg_ah_1,1
-0.0015357688428149097,0.6692506368798341,0.6675771801635986,4.095797099776554,0.8385973650220833,0.09931060406925633,0.3294006323223071,1_Goede_weg_ah_1,1
